,country,average_hourly_rate
0,Aland Islands,29.655126899340296
1,Albania,28.65948412878022
2,Algeria,27.57157152911389
3,American Samoa,27.789614209406267
4,Andorra,26.82404099853446
5,Angola,29.88855915333869
6,Anguilla,29.655126899340296
7,Antigua and Barbuda,25.577563449670148
8,Argentina,30.231273744946023
9,Armenia,28.679407032637094
10,Aruba,18.6800563997068
11,Australia,27.30504728536669
12,Austria,28.153282472377718
13,Azerbaijan,30.081397467246603
14,Bahamas,25.864622932230652
15,Bahrain,29.760943624735397
16,Bangladesh,31.174289831755036
17,Barbados,32.51289974329645
18,Belarus,29.655126899340296
19,Belgium,30.24368171795798
20,Belize,27.66008540752554
21,Benin,28.974101519472235
22,Bermuda,27.98272917016137
23,Bhutan,29.0
24,Bolivia,25.04463774497476
25,"Bonaire, Sint Eustatius and Saba",29.655126899340296
26,Bosnia and Herzegovina,30.803845174505224
27,Botswana,32.253662070957354
28,Brazil,28.617011565391905
29,British Virgin Islands,35.42382402461517
30,Brunei Darussalam,18.16205075973612
31,Bulgaria,28.580991428632657
32,Cambodia,28.258700765406907
33,Cameroon,27.883470980599675
34,Canada,28.298315230300624
35,Cayman Islands,30.97645592679294
36,Central African Republic,5.0
37,Chad,29.655126899340296
38,Chile,28.446525990899584
39,China,29.542519147718785
40,Colombia,29.48224954246013
41,Comoros,29.655126899340296
42,Congo,27.5
43,"Congo, the Democratic Republic of the",24.288781724835076
44,Costa Rica,27.54242885823068
45,Cote d&#039;Ivoire,29.199101519472237
46,Croatia,26.587509618565804
47,Curacao,30.34509028704896
48,Cyprus,29.426328511211672
49,Czech Republic,28.514846213032225
50,Denmark,29.718690287235457
51,Djibouti,23.10341793289353
52,Dominica,27.327563449670148
53,Dominican Republic,27.03223532765017
54,Ecuador,31.462889921493066
55,Egypt,29.749091849794482
56,El Salvador,27.685362050819048
57,Estonia,27.91373963364416
58,Ethiopia,30.72476618751895
59,Faroe Islands,29.655126899340296
60,Fiji,8.5
61,Finland,27.390480287588034
62,France,28.44640431545359
63,French Polynesia,23.684318622620204
64,Gabon,21.551708966446768
65,Gambia,29.655126899340296
66,Georgia,29.46857960923509
67,Germany,28.91510752160989
68,Ghana,25.272530508075516
69,Gibraltar,28.92884517450522
70,Greece,29.705774595034853
71,Grenada,30.323236036922758
72,Guadeloupe,24.49134517450522
73,Guam,28.224101519472235
74,Guatemala,28.362156399312354
75,Guernsey,19.214285714285715
76,Guinea,27.827563449670148
77,Guyana,29.11080492810021
78,Haiti,29.47645592679294
79,Holy See,17.5
80,Honduras,26.20034572393207
81,Hong Kong,28.834846602403715
82,Hungary,30.539611712586044
83,Iceland,28.708827870049728
84,India,27.900289179100312
85,Indonesia,27.977482701537557
86,Ireland,28.031351808769998
87,Isle of Man,30.79963258038692
88,Israel,28.71267879811874
89,Italy,28.81359537072042
90,Jamaica,29.01292866211216
91,Japan,27.281141658915065
92,Jersey,31.96361453412601
